Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Jurisdiction_ID4,Jurisdiction_ID5,Jurisdiction_ID6
P067,,,,,
P083,,,,,
D549,,,,,
D541,,,,,
P067,,,,,
D538,,,,,
D570,,,,,
D548,,,,,
P017,P023,P043,P083,,
P067,,,,,
D537,,,,,
P017,,,,,
P043,,,,,
D543,,,,,
D538,,,,,
D538,,,,,
P083,,,,,
P043,,,,,
D430,,,,,
D541,,,,,
D430,,,,,
D543,,,,,
D538,,,,,
P042,,,,,
D538,,,,,
D538,,,,,
P067,,,,,
D430,,,,,
D384,,,,,
P086,,,,,
D696,,,,,
D538,,,,,
P020,,,,,
D166,,,,,
D096,,,,,
D096,,,,,
D094,,,,,
D578,,,,,
D555,,,,,
D381,,,,,
D381,,,,,
D365,,,,,
D335,,,,,
D409,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D562,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D431,,,,,
D428,,,,,
D428,,,,,
D427,,,,,
D432,,,,,
D365,,,,,
D374,,,,,
D371,,,,,
D371,,,,,
D371,,,,,
D371,,,,,
D371,,,,,
D371,,,,,
D371,,,,,
D353,,,,,
D456,,,,,
P065,,,,,
D436,,,,,
D436,,,,,
D436,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
P057,,,,,
D562,,,,,
D562,,,,,
P057,,,,,
D562,,,,,
P057,,,,,
D562,,,,,
D562,,,,,
D577,D579,D571,,,
D562,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
P057,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
P081,,,,,
D537,,,,,
D596,,,,,
P089,,,,,
D563,,,,,
D539,,,,,
P081,,,,,
P081,,,,,
P081,,,,,
D441,,,,,
D441,,,,,
D441,,,,,
D441,,,,,
P065,,,,,
P008,,,,,
P061,,,,,
P050,,,,,
D330,,,,,
P008,,,,,
D350,,,,,
D350,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D396,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D342,,,,,
D362,,,,,
D362,,,,,
D407,,,,,
D407,,,,,
D402,,,,,
D402,,,,,
D402,,,,,
D402,,,,,
D402,,,,,
D402,,,,,
D398,,,,,
D425,,,,,
D457,,,,,
D457,,,,,
D457,,,,,
D376,,,,,
D359,,,,,
P003,P006,P027,,,
D388,,,,,
D458,,,,,
D458,,,,,
D458,,,,,
D574,,,,,
D574,,,,,
D574,,,,,
D416,,,,,
D443,,,,,
D459,,,,,
D459,,,,,
D459,,,,,
D459,,,,,
D236,,,,,
D236,,,,,
D381,,,,,
D385,,,,,
D385,,,,,
D385,,,,,
D353,,,,,
D353,,,,,
D353,,,,,
D403,,,,,
D403,,,,,
D439,,,,,
D378,,,,,
D378,,,,,
D378,,,,,
D558,,,,,
D575,,,,,
D575,,,,,
D408,,,,,
P061,,,,,
D421,,,,,
P061,,,,,
D455,,,,,
D379,,,,,
D379,,,,,
D379,,,,,
D450,,,,,
D450,,,,,
D450,,,,,
D450,,,,,
D450,,,,,
D450,,,,,
D450,,,,,
P065,,,,,
P065,,,,,
P065,,,,,
P065,,,,,
D438,,,,,
D432,,,,,
D395,,,,,
D395,,,,,
D395,,,,,
D575,,,,,
D342,,,,,
D342,,,,,
P070,,,,,
D443,,,,,
P023,,,,,
D543,,,,,
D543,,,,,
D543,,,,,
D543,,,,,
D543,,,,,
P004,,,,,
D261,,,,,
D042,,,,,
D111,,,,,
D111,,,,,
D111,,,,,
D127,,,,,
D465,,,,,
D255,,,,,
P008,,,,,
P008,,,,,
P008,,,,,
P008,,,,,
D350,,,,,
P061,,,,,
P061,,,,,
P061,,,,,
D427,,,,,
P061,,,,,
D427,,,,,
D127,,,,,
D433,,,,,
P047,,,,,
P059,,,,,
P069,,,,,
P081,,,,,
P006,,,,,
P005,P059,D096,D093,,
P028,P036,,,,
P081,,,,,
P005,,,,,
P006,,,,,
R007,,,,,
P059,,,,,
D308,,,,,
P047,,,,,
R005,,,,,
P006,,,,,
D306,,,,,
P043,,,,,
P077,,,,,
P081,,,,,
D374,,,,,
D561,,,,,
P041,,,,,
P015,,,,,
P003,,,,,
P041,,,,,
P027,,,,,
P050,,,,,
P050,,,,,
P077,,,,,
P050,,,,,
P003,P006,P027,,,
P070,,,,,
P078,,,,,
P008,,,,,
D187,,,,,
P023,,,,,
P059,,,,,
P042,,,,,
P059,,,,,
P081,,,,,
D182,,,,,
P020,,,,,
P069,P078,D660,D661,D662,
P070,,,,,
P078,,,,,
P003,P006,P027,,,
D607,,,,,
P014,,,,,
D096,D187,D021,D094,D076,
D093,,,,,
P020,,,,,
P015,,,,,
P081,,,,,
P003,P006,P027,,,
D175,,,,,
P078,,,,,
P020,,,,,
P020,,,,,
P070,,,,,
P026,,,,,
D530,,,,,
P026,,,,,
P026,,,,,
D021,,,,,
P005,,,,,
P050,,,,,
D746,,,,,
P081,,,,,
P008,P050,P080,,,
P050,,,,,
P055,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D462,,,,,
D558,,,,,
D645,,,,,
D199,,,,,
D199,,,,,
D076,,,,,
D093,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
D646,,,,,
D646,,,,,
D645,,,,,
D643,,,,,
D654,,,,,
D654,,,,,
D643,,,,,
P070,,,,,
D665,,,,,
D665,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D654,,,,,
D613,,,,,
D613,,,,,
P093,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
P093,,,,,
D465,,,,,
D465,,,,,
D465,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D539,,,,,
D702,,,,,
D444,,,,,
D444,,,,,
P031,,,,,
D212,,,,,
D561,,,,,
D561,,,,,
D561,,,,,
D561,,,,,
D696,,,,,
D699,,,,,
P086,,,,,
D699,,,,,
P086,,,,,
P067,,,,,
P067,,,,,
P067,,,,,
P067,,,,,
P067,,,,,
P061,,,,,
P015,,,,,
D570,,,,,
D570,,,,,
D570,,,,,
P067,,,,,
D564,,,,,
P067,,,,,
